phenotypeId,webApiCohortId,cohortName,logicDescription,cohortId,referentConceptId,cohortType,PMID
374366000,18696,Sensorineural hearing loss referent prevalent cohort,"Persons with condition occurrence of referent concept (374366) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",374366002,374366,referent,
375801000,17587,Multiple sclerosis referent incident cohort,"Persons with condition occurrence of referent concept (374919) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",374919001,374919,referent,
375801000,17586,Multiple sclerosis referent prevalent cohort,"Persons with condition occurrence of referent concept (374919) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",374919002,374919,referent,
375801000,17093,Multiple Sclerosis (MS) at first diagnosis,Multiple Sclerosis (MS) at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,374919003,374919,,
375801000,18542,"Persons with multiple sclerosis, as defined by Widdifield NSJ 2015",,374919004,374919,literature,
375801000,18633,Chronic inflammatory demyelinating polyradiculoneuropathy referent incident cohort,"Persons with condition occurrence of referent concept (381009) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",381009001,381009,referent,
375801000,18632,Chronic inflammatory demyelinating polyradiculoneuropathy referent prevalent cohort,"Persons with condition occurrence of referent concept (381009) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",381009002,381009,referent,
375806000,18657,Idiopathic peripheral neuropathy referent incident cohort,"Persons with condition occurrence of referent concept (375806) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",375806001,375806,referent,
375806000,18656,Idiopathic peripheral neuropathy referent prevalent cohort,"Persons with condition occurrence of referent concept (375806) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",375806002,375806,referent,
377091000,17671,Seizure referent incident cohort,"Persons with condition occurrence of referent concept (377091) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",377091001,377091,referent,
377091000,17670,Seizure referent prevalent cohort,"Persons with condition occurrence of referent concept (377091) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",377091002,377091,referent,
377091000,18502,"Seizure by Shui, Custom code and require an inpatient or an ER visit",,377091003,377091,literature,
377091000,17479,Epilepsy referent incident cohort,"Persons with condition occurrence of referent concept (380378) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",380378001,380378,referent,
377091000,17478,Epilepsy referent prevalent cohort,"Persons with condition occurrence of referent concept (380378) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",380378002,380378,referent,
377091000,17833,Epilepsy/seizure disorder design diagnostics 2 cohort,"Seizure disorder, epileptic seizure added. Excludes eclampsia, convulsions of new born and complications of pregnancy, childbirth and puerperium.",380378003,380378,design diagnostics,
377091000,17834,Epilepsy/seizure (adding parents with additional exclusions - require 2nd Dx within 30 days),"Seizure disorder, epileptic seizure added. Excludes eclampsia, convulsions of new born and complications of pregnancy, childbirth and puerperium (require 2nd Dx within 30 days)",380378004,380378,data diagnostics,
377091000,18379,Epilepsy design diagnostics 1 cohort,Epilepsy incident cohort: First occurrence of Seizures (excludes concept that may represent a short term seizures) + descendants with >=365d prior observation,380378005,380378,design diagnostics,
377091000,18833,Epilepsy Christensen 1,Epilepsy Christensen (2007) 1+ codes,380378006,380378,literature,
377091000,18834,Epilepsy Jette 1,Epilepsy Jette (2010) 1+ codes inpatient,380378007,380378,literature,
377091000,18835,Epilepsy Moura 1,Epilepsy Moura (2017) 1+ codes + Anti-Epileptic Drug,380378008,380378,literature,
377091000,18836,Epilepsy Pugh 1,Epilepsy Pugh (2008) 1+ codes + Anti-Epileptic Drug,380378009,380378,literature,
377091000,18837,Epilepsy Tan 1,Epilepsy Tan (2015) 1+ codes in-patient,380378010,380378,literature,
377091000,20092,FDA AESI seizure pediatric events,All events of Seizure with no such events in prior clean window period (42 days) and restricted to ages < 2 years. No continuous observation period requirement. Persons exit the cohort on start_date + 1 day.,380378011,4196708,study;FDA;Covid,
377091000,20093,FDA AESI seizure pediatric event episodes for incidence characterization,All events of Seizure restricted to ages < 2 years. No continuous observation period requirement. Persons exit the cohort on start_date + 42 days.,380378012,4196708,study;FDA;Covid,
377091000,20094,FDA AESI febrile seizure pediatric events,All events of Febrile Seizure with no such events in prior clean window period (42 days) and restricted to ages < 2 years. No continuous observation period requirement. Persons exit the cohort on start_date + 1 day.,380378013,444413,study;FDA;Covid,
377091000,20095,FDA AESI febrile seizure pediatric event episodes for incidence characterization,All events of Seizure restricted to ages < 2 years. No continuous observation period requirement. Persons exit the cohort on start_date + 42 days.,380378014,444413,study;FDA;Covid,
378135000,18643,Facial palsy referent incident cohort,"Persons with condition occurrence of referent concept (4091559) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4091559001,4091559,referent,
378135000,18642,Facial palsy referent prevalent cohort,"Persons with condition occurrence of referent concept (4091559) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4091559002,4091559,referent,
378135000,20060,FDA AESI Bells palsy events,All events of Bells palsy with no events in prior clean period (183 days). No continuous observation period requirement. Persons exit the cohort on start_date + 1 day. Includes both UMN and LMN palsy.,4091559003,374923,study;FDA;Covid,
378135000,20061,FDA AESI Bells palsy events for incidence characterization,All events of Bells palsy. No continuous observation period requirement. Persons exit the cohort on start_date + 183 days. Includes both UMN and LMN palsy.,4091559004,374923,study;FDA;Covid,
378416000,17389,Age related macular degeneration referent incident cohort,"Persons with condition occurrence of referent concept (374028) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",374028001,374028,referent,
378416000,17388,Age related macular degeneration referent prevalent cohort,"Persons with condition occurrence of referent concept (374028) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",374028002,374028,referent,
378416000,17659,Retinal detachment referent incident cohort,"Persons with condition occurrence of referent concept (378414) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378414001,378414,referent,
378416000,17658,Retinal detachment referent prevalent cohort,"Persons with condition occurrence of referent concept (378414) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378414002,378414,referent,
378416000,17661,Retinal disorder referent incident cohort,"Persons with condition occurrence of referent concept (378416) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378416001,378416,referent,
378416000,17660,Retinal disorder referent prevalent cohort,"Persons with condition occurrence of referent concept (378416) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378416002,378416,referent,
378416000,17663,Retinopathy due to diabetes mellitus referent incident cohort,"Persons with condition occurrence of referent concept (4174977) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4174977001,4174977,referent,
378416000,17662,Retinopathy due to diabetes mellitus referent prevalent cohort,"Persons with condition occurrence of referent concept (4174977) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4174977002,4174977,referent,
378416000,17459,Degeneration of retina referent incident cohort,"Persons with condition occurrence of referent concept (4318985) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4318985001,4318985,referent,
378416000,17458,Degeneration of retina referent prevalent cohort,"Persons with condition occurrence of referent concept (4318985) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4318985002,4318985,referent,
378419000,17395,Alzheimers disease referent incident cohort,"Persons with condition occurrence of referent concept (378419) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",378419001,378419,referent,
378419000,17394,Alzheimers disease referent prevalent cohort,"Persons with condition occurrence of referent concept (378419) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",378419002,378419,referent,
378419000,18982,"Alzheimers disease by Imfeld Epilepsia, 2013","Composite definition of Alzheimers disease, dementia or prescription for an alzheimer disease",378419003,378419,literature,
381114000,18663,Microcephalus referent incident cohort,"Persons with condition occurrence of referent concept (381114) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",381114001,381114,referent,
381114000,18662,Microcephalus referent prevalent cohort,"Persons with condition occurrence of referent concept (381114) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",381114002,381114,referent,
381270000,17619,Parkinsons disease referent incident cohort,"Persons with condition occurrence of referent concept (381270) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",381270001,381270,referent,
381270000,17618,Parkinsons disease referent prevalent cohort,"Persons with condition occurrence of referent concept (381270) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",381270002,381270,referent,
381591000,17820,Transient cerebral ischemia referent incident cohort,"Persons with condition occurrence of referent concept (373503) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",373503001,373503,referent,
381591000,17819,Transient cerebral ischemia referent prevalent cohort,"Persons with condition occurrence of referent concept (373503) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",373503002,373503,referent,
381591000,17750,"Transient ischemic attack events, defined by condition occurrences of Transient cerebral Ischemia (TCA) conceptset occurring between start and end of inpatient or ER visit",,373503003,373503,,
381591000,17435,Cerebral hemorrhage referent incident cohort,"Persons with condition occurrence of referent concept (376713) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",376713001,376713,referent,
381591000,17434,Cerebral hemorrhage referent prevalent cohort,"Persons with condition occurrence of referent concept (376713) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",376713002,376713,referent,
381591000,17752,"Hemorrhagic stroke events, defined by condition occurrences of intracranial bleed Hemorrhagic stroke conceptset occurring between start and end of inpatient or ER visit",,376713003,376713,,
381591000,18937,"Hemorrhagic stroke events, defined by condition occurrences of Intracranial Bleed Hemorrhagic Stroke conceptset","Hemorrhagic stroke events, defined by condition occurrences of 'Intracranial Bleed Hemorrhagic Stroke' conceptset",376713004,376713,,
381591000,17790,Cerebrovascular accident referent incident cohort,"Persons with condition occurrence of referent concept (381316) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",381316001,381316,referent,
381591000,17789,Cerebrovascular accident referent prevalent cohort,"Persons with condition occurrence of referent concept (381316) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",381316002,381316,referent,
381591000,17749,"Stroke events, defined by condition occurrences of Stroke (ischemic or hemorrhagic) conceptset occurring between start and end of inpatient or ER visit",,381316003,381316,,
381591000,17439,Cerebrovascular disease referent incident cohort,"Persons with condition occurrence of referent concept (381591) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",381591001,381591,referent,
381591000,17438,Cerebrovascular disease referent prevalent cohort,"Persons with condition occurrence of referent concept (381591) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",381591002,381591,referent,
381591000,17437,Cerebral infarction referent incident cohort,"Persons with condition occurrence of referent concept (443454) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",443454001,443454,referent,
381591000,17436,Cerebral infarction referent prevalent cohort,"Persons with condition occurrence of referent concept (443454) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",443454002,443454,referent,
381591000,17751,"Ischemic stroke events, defined by condition occurrences of Ischemic stroke conceptset occurring between start and end of inpatient or ER visit",,443454003,443454,,
381591000,18936,"Ischemic stroke events, defined by condition occurrences of Ischemic stroke conceptset","Ischemic stroke events, defined by condition occurrences of 'Ischemic stroke' conceptset",443454004,443454,,
381591000,20070,FDA AESI Non-hemorrhagic stroke IP events,All events of Non-hemorrhagic stroke (i.e. ischemic stroke) limited to events with overlapping inpatient stay with no such events in prior clean window period (365 days). No continuous observation period requirement. Persons exit the cohort on start_date + 1 day. Note: cerebral thrombosis (based on validated literature review),443454005,381316,study;FDA;Covid,
381591000,20071,FDA AESI Non-hemorrhagic stroke IP event episodes for incidence characterization,All events of Non-hemorrhagic stroke (i.e. ischemic stroke) limited to events with overlapping inpatient stay. No continuous observation period requirement. Persons exit the cohort on start_date + 365 days. Note: cerebral thrombosis (based on validated literature review),443454006,381316,study;FDA;Covid,
381591000,20072,FDA AESI Hemorrhagic stroke IP events,All events of Hemorrhagic stroke limited to events with overlapping inpatient stay with no such events in prior clean window period (365 days). No continuous observation period requirement. Persons exit the cohort on start_date + 1 day.,443454007,381316,study;FDA;Covid,
381591000,20073,FDA AESI Hemorrhagic stroke IP event episodes for incidence characterization,All events of hemorrhagic stroke limited to events with overlapping inpatient stay. No continuous observation period requirement. Persons exit the cohort on start_date + 365 days.,443454008,381316,study;FDA;Covid,
4013643000,17643,Pulmonary arterial hypertension referent incident cohort,"Persons with condition occurrence of referent concept (4013643) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4013643001,4013643,referent,
4013643000,17642,Pulmonary arterial hypertension referent prevalent cohort,"Persons with condition occurrence of referent concept (4013643) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4013643002,4013643,referent,
4027537000,18671,Myasthenia gravis referent incident cohort,"Persons with condition occurrence of referent concept (76685) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",76685001,76685,referent,
4027537000,18670,Myasthenia gravis referent prevalent cohort,"Persons with condition occurrence of referent concept (76685) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",76685002,76685,referent,
4027537000,18673,Myasthenic syndrome due to another disorder referent incident cohort,"Persons with condition occurrence of referent concept (432893) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",432893001,432893,referent,
4027537000,18672,Myasthenic syndrome due to another disorder referent prevalent cohort,"Persons with condition occurrence of referent concept (432893) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",432893002,432893,referent,
4028363000,17703,Uveitis referent incident cohort,"Persons with condition occurrence of referent concept (4028363) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4028363001,4028363,referent,
4028363000,17702,Uveitis referent prevalent cohort,"Persons with condition occurrence of referent concept (4028363) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4028363002,4028363,referent,
4028363000,11966,Uveitis at first diagnosis,Uveitis at first diagnosis with 365 days continuous observation. Cohort exit is the end of continuous observable time for the person.,4028363003,4028363,,
4028363000,18560,"Uveitits, Guo algorithm (codes on 2 visits at least 30 days apart)",,4028363004,4028363,literature,
4028363000,18550,"Uveitits, Pimentel algorithm (codes on any visit and no traumatic iritis or uveitis after ocular surgery)",,4028363005,4028363,,
4030518000,17651,Renal failure syndrome referent incident cohort,"Persons with condition occurrence of referent concept (192359) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",192359001,192359,referent,
4030518000,17650,Renal failure syndrome referent prevalent cohort,"Persons with condition occurrence of referent concept (192359) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",192359002,192359,referent,
4030518000,17796,End-stage renal disease referent incident cohort,"Persons with condition occurrence of referent concept (193782) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",193782001,193782,referent,
4030518000,17795,End-stage renal disease referent prevalent cohort,"Persons with condition occurrence of referent concept (193782) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",193782002,193782,referent,
4030518000,7374,End stage renal disease prevalent cohort: All condition occurrences of End stage renal disease conceptset with either a 2nd diagnosis of End stage renal disease or a record of Dialysis in 90d after,End stage renal disease prevalent cohort: All condition occurrences of 'End stage renal disease' conceptset with either a 2nd diagnosis of 'End stage renal disease' or a record of 'Dialysis' in 90d after,193782004,193782,,
4030518000,17755,End stage renal disease prevalent cohort: All condition occurrences or observations of End stage renal disease conceptset with either a 2nd diagnosis or observatoin of End stage renal disease or a record of Dialysis in 90d after,End stage renal disease prevalent cohort: All condition occurrences or observations of 'End stage renal disease' conceptset with either a 2nd diagnosis or observatoin of 'End stage renal disease' or a record of 'Dialysis' in 90d after,193782005,193782,,
4030518000,17383,Acute renal failure syndrome referent incident cohort,"Persons with condition occurrence of referent concept (197320) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",197320001,197320,referent,
4030518000,17382,Acute renal failure syndrome referent prevalent cohort,"Persons with condition occurrence of referent concept (197320) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",197320002,197320,referent,
4030518000,17729,"Acute kidney injury diagnosis during hospitalization, without prior end-stage renal disease or transplant","Acute kidney injury diagnosis during hospitalization, without prior end-stage renal disease or transplant",197320003,197320,,
4030518000,7382,"Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of acute renal failure conceptset occurring between start and end of inpatient visit","Acute kidney injury diagnosis during hospitalization, defined by condition occurrences of 'acute renal failure' conceptset occurring between start and end of inpatient visit",197320004,197320,,
4030518000,17387,Acute tubular necrosis referent incident cohort,"Persons with condition occurrence of referent concept (444044) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",444044001,444044,referent,
4030518000,17386,Acute tubular necrosis referent prevalent cohort,"Persons with condition occurrence of referent concept (444044) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",444044002,444044,referent,
4030518000,17653,Renal impairment referent incident cohort,"Persons with condition occurrence of referent concept (4030518) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4030518001,4030518,referent,
4030518000,17652,Renal impairment referent prevalent cohort,"Persons with condition occurrence of referent concept (4030518) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4030518002,4030518,referent,
4030518000,17441,Chronic kidney disease referent incident cohort,"Persons with condition occurrence of referent concept (46271022) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",46271022001,46271022,referent,
4030518000,17440,Chronic kidney disease referent prevalent cohort,"Persons with condition occurrence of referent concept (46271022) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",46271022002,46271022,referent,
4030518000,17718,Chronic kidney disease prevalent cohort: First condition occurrence of chronic kidney disease conceptset,,46271022003,46271022,,
4030518000,17759,"Chronic kidney disease prevalent cohort: Earliest condition occurrence of chronic kidney disease conceptset, with a condition occurrence in 30d after to anytime after, or 3 or more dialysis events anytime on or after entry event",,46271022004,46271022,,
4030518000,17853,"Chronic kidney disease prevalent cohort: earliest CKD with evidence CKD 90d post-index, 2+ dialysis events 90d apart, 2+ kayexlate drug exposure 90d apart, or evidence of AV Fistula",,46271022005,46271022,,
4030518000,18938,Chronic kidney disease incident cohort: First condition occurrence of chronic kidney disease conceptset,Chronic kidney disease incident cohort: First condition occurrence of 'chronic kidney disease' conceptset,46271022006,46271022,,
4043371000,17477,Eosinophilic esophagitis referent incident cohort,"Persons with condition occurrence of referent concept (27918) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",27918001,27918,referent,
4043371000,17476,Eosinophilic esophagitis referent prevalent cohort,"Persons with condition occurrence of referent concept (27918) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",27918002,27918,referent,
4043371000,16908,Eosinophilic esophagitis with another occurrence in two years after - first time in persons history,Eosinophilic esophagitis at first diagnosis with 365 days continuous observation and a second diagnosis within 2 years. Cohort exit is the end of continuous observable time for the person.,27918003,27918,,
4043371000,17481,Esophagitis referent incident cohort,"Persons with condition occurrence of referent concept (30753) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",30753001,30753,referent,
4043371000,17480,Esophagitis referent prevalent cohort,"Persons with condition occurrence of referent concept (30753) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",30753002,30753,referent,
4043371000,17699,Ulcerative colitis referent incident cohort,"Persons with condition occurrence of referent concept (81893) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",81893001,81893,referent,
4043371000,17698,Ulcerative colitis referent prevalent cohort,"Persons with condition occurrence of referent concept (81893) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",81893002,81893,referent,
4043371000,10605,Ulcerative colitis at first diagnosis with no history of ulcerative colitis,Ulcerative colitis at first diagnosis with 365 days continous observation and no history of ulcerative colitis observation. Cohort exist is the end of continous observable time for the person.,81893003,81893,,
4043371000,15982,"Ulcerative colitis at first diagnosis with a second diagnosis at any time in future, no history of code",Ulcerative colitis at first diagnosis with 365 days continous observation and no history of ulcerative colitis observation with second occurrence at anytime after index date. Cohort exist is the end of continous observable time for the person.,81893004,81893,,
4043371000,18803,Ulcerative Colitis Ananthakrishnan 1,Ulcerative Colitis Ananthakrishnan (2013) 1+ codes,81893005,81893,literature,23567779
4043371000,18804,Ulcerative Colitis Ananthakrishnan 2,Ulcerative Colitis Ananthakrishnan (2013) 5+ codes,81893006,81893,literature,23567779
4043371000,18805,Ulcerative Colitis Ananthakrishnan 3,Ulcerative Colitis Ananthakrishnan (2013) 1+ codes + endoscopy,81893007,81893,literature,23567779
4043371000,18806,Ulcerative Colitis Ananthakrishnan 4,Ulcerative Colitis Ananthakrishnan (2013) 4+ codes out-patient or 2+ codes in-patient,81893008,81893,literature,23567779
4043371000,18807,Ulcerative Colitis Stepaniuk 1,Ulcerative Colitis Stepaniuk (2015) 1+ codes In-patient,81893009,81893,literature,25874650
4043371000,18808,Ulcerative Colitis Thirumurthi 1,Ulcerative Colitis Thirumurthi (2010) 1+ codes In-patient,81893010,81893,literature,20033847
4043371000,17433,Celiac disease referent incident cohort,"Persons with condition occurrence of referent concept (194992) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",194992001,194992,referent,
4043371000,17432,Celiac disease referent prevalent cohort,"Persons with condition occurrence of referent concept (194992) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",194992002,194992,referent,
4043371000,17489,Gastritis referent incident cohort,"Persons with condition occurrence of referent concept (201340) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201340001,201340,referent,
4043371000,17488,Gastritis referent prevalent cohort,"Persons with condition occurrence of referent concept (201340) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201340002,201340,referent,
4043371000,17455,Crohns disease referent incident cohort,"Persons with condition occurrence of referent concept (201606) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",201606001,201606,referent,
4043371000,17454,Crohns disease referent prevalent cohort,"Persons with condition occurrence of referent concept (201606) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",201606002,201606,referent,
4043371000,15078,Crohns disease for first time with no history (Thirumurthi),"Crohn's disease (validated concept set) at first diagnosis with 365 days continuous observation, with no history of crohn's disease. Cohort exit is the end of continuous observable time for the person.",201606003,201606,literature,20033847
4043371000,16402,Crohns disease for first time with 5 occurrences in 4 years after and no history of code (Benchimol),"Crohn's disease (validated concept set) at first diagnosis with 365 days continuous observation, with no history of crohn's disease, and atleast 4 visits in 4 years. Cohort exit is the end of continuous observable time for the person.",201606004,201606,literature,
4043371000,18820,Crohns Disease Ananthakrishnan 1,Crohns Disease Ananthakrishnan (2013) 1+ codes,201606005,201606,literature,23567779
4043371000,18821,Crohns Disease Ananthakrishnan 2,Crohns Disease Ananthakrishnan (2013) 5+ codes,201606006,201606,literature,23567779
4043371000,18822,Crohns Disease Ananthakrishnan 3,Crohns Disease Ananthakrishnan (2013) 1+ codes + endoscopy,201606007,201606,literature,23567779
4043371000,18823,Crohns Disease Ananthakrishnan 4,Crohns Disease Ananthakrishnan (2013) 4+ codes out-patient or 2+ codes in-patient,201606008,201606,literature,23567779
4043371000,18824,Crohns Disease Stepaniuk 1,Crohns Disease Stepaniuk (2015) 1+ codes In-patient,201606009,201606,literature,25874650
4043371000,18825,Crohns Disease Thirumurthi 1,Crohns Disease Thirumurthi (2010) 1+ codes In-patient,201606010,201606,literature,20033847
4043371000,17529,Inflammatory bowel disease referent incident cohort,"Persons with condition occurrence of referent concept (4074815) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4074815001,4074815,referent,
4043371000,17528,Inflammatory bowel disease referent prevalent cohort,"Persons with condition occurrence of referent concept (4074815) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4074815002,4074815,referent,
4043371000,17144,Inflammatory bowel disease,"Inflammatory Bowel Disease at first diagnosis with 365 days continuous observation and no prior history of IBM, CD or UC. Cohort exit is the end of continuous observable time for the person.",4074815003,4074815,,
4043371000,18637,Diverticulitis of large intestine referent incident cohort,"Persons with condition occurrence of referent concept (4260535) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4260535001,4260535,referent,
4043371000,18636,Diverticulitis of large intestine referent prevalent cohort,"Persons with condition occurrence of referent concept (4260535) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4260535002,4260535,referent,
4043371000,20066,FDA AESI Appendicitis IP events,All events of Appendicitis limited to events with overlapping inpatient stay with no such events in prior clean window period (365 days). No continuous observation period requirement. Persons exit the cohort on start_date + 1 day.,4260535003,440448,study;FDA;Covid,
4043371000,20067,FDA AESI Appendicitis IP event episodes for incidence characterization,All events of Appendicitis limited to events with overlapping inpatient sta. No continuous observation period requirement. Persons exit the cohort on start_date + 365 days.,4260535004,440448,study;FDA;Covid,
4046338000,18669,Motor neuropathy with multiple conduction block referent incident cohort,"Persons with condition occurrence of referent concept (4046338) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4046338001,4046338,referent,
4046338000,18668,Motor neuropathy with multiple conduction block referent prevalent cohort,"Persons with condition occurrence of referent concept (4046338) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4046338002,4046338,referent,
40481902000,17557,Malignant neoplasm of anorectum referent incident cohort,"Persons with condition occurrence of referent concept (40481902) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",40481902001,40481902,referent,
40481902000,17556,Malignant neoplasm of anorectum referent prevalent cohort,"Persons with condition occurrence of referent concept (40481902) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",40481902002,40481902,referent,
4067106000,17806,Miscarriage referent incident cohort,"Persons with condition occurrence of referent concept (4067106) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4067106001,4067106,referent,
4067106000,17805,Miscarriage referent prevalent cohort,"Persons with condition occurrence of referent concept (4067106) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4067106002,4067106,referent,
4067106000,17740,"Miscarriage or abortion events, defined by condition occurrences, observations, or procedures of Abortion conceptset in females",,4067106003,4067106,,
4092289000,17800,Livebirth referent incident cohort,"Persons with condition occurrence of referent concept (4092289) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",4092289001,4092289,referent,
4092289000,17799,Livebirth referent prevalent cohort,"Persons with condition occurrence of referent concept (4092289) or descendants, for the first time in the person's history, with at least 365 days of prior continuous observation. Persons exit cohort at the end of the observation period.",4092289002,4092289,referent,
4094294000,17595,Neck pain referent incident cohort,"Persons with condition occurrence of referent concept (24134) or descendants, for the first time in the person's history. Persons exit cohort at the end of the observation period.",24134001,24134,referent,
