phenotypeId,phenotypeName,clinicalDescription
318443000,Arteriosclerotic vascular disease,"Overview: is an arteriopathy from atherosclerosis, that may begin at childhood with the development of fatty streaks. Fibrous cap, plaque form as the lesion advances. Presentation: Coronary artery disease, peripheral vascular disease, cerebral vascular disease. Assessment: depends on the symptoms and vessels involved. Dyslipidemia testingPlan: lifestyle changes, diet and excercise, statins, anticouagulant cholesterol meds, coronary stent, angioplastyPrognosis: chronic disease, rarely reversible unless very early, progressive in the presence of risk factors. may lead to end organ damage thru ischemic stroke."
318736000,Migraine,"Overview: Migraine disorders are classes of debilitating, severe headaches with other physical symptoms. Prevalence has been estimated that 10-15% of all patients worldwide experience a migraine disorder at some point. Presentation: Symptoms include severe headaches, nausea, sensitivity to light an irritability. Two broad categories exist; those with and without visual auras. Gender appears to be a strong component, where women are approximately 3 times more likely to report migraines than men and reported symptoms are also more severe. Assessment: There is no formal diagnostic test for migraines. Diagnosis is achieved by reviewing family and patient medical history, physical examination and performing investigations to rule out other causes of the symptoms. A migraine disorder is classed as chronic when symptoms persist for >=15 days in a calendar month. Plan: Standard pain medication such as ibuprohen or acetaminophen is suggested for initial treatment. Triptans or ergotamines are suggested where simple pain medication does not help. There is no cure or widely accepted treatment thought to prevent most causes of migraine. Prognosis: Migraine disorders are debilitating conditions that have no clear path of treatment with many patients having problems throughout their lives."
318800000,Gastroesophageal reflux disease,"Overview: GERD is persistent acid reflux that occurs more than twice a week. Many people occasionally experience gastroesophageal reflux (GER)Presentation: ""heartburn"", burning pain in the chest that usually occurs after eating and worsens when lying down, N/V, bad breath, difficulty or pain when swallowing Assessment: Esophageal pH and impedance monitoring, upper GI endoscope, upper GI series, Esophageal manometryPlan: life-style changes, protein pump inhibitors, (decrease the amount of acid produced by the stomach), can use antacids, H2 blockers, prokinetics, and erythromycin. surgical options - Fundoplication, Endoscopic proceduresPrognosis: Chronic. GERD can worsen if left untreated and turn into other conditons - esophagitis, Barrett’s esophagus"
319041000,Orthostatic hypotension,"Overview: (Postural hypotension). A form of low blood pressure (BP) that happens when standing up from sitting or lying down. Defined as a decrease in systolic BP of 20 mm Hg or a decrease in diastolic BP of 10 mm Hg within 3 minutes of standing when compared with BP from the sitting or supine position. Presentation: Upon standing - dizziness, lightheadedness, blurred vision, weakness, fatigue, nausea, palpitations, and headache. May be acute or chronic, as well as symptomatic or asymptomatic. Assessment: orthostatic vital signs, tilt table test Plan: Identifying reversible causes and underlying associated medical conditions to restore normal BP, medications to increae blood volume Prognosis: Symptoms usually clear up when you sit or lie down for a few minutes. Can be treated successfully."
321052000,Peripheral vascular disease,"Overview: Peripheral vascular disease is peripheral artery disease (PAD) i.e. vascular here refers to artery and not venous or lymphatic disease. Peripheral here represents noncoronary vasculature and the underlying disease is limited to atherosclerotic disease causing peripheral artery obstruction. aka- arteriosclerosis obliterans, arterial insufficiency of the legs, claudication, and intermittent claudication. Lower limb ischemia is the most common subtype. Different from Thromboangiitis obliterans (Buerger disease) and Raynaud phenomenon (RP, idiopathic, immune mediated) that are non atherosclerotic and distinct. Also distinct of vessel disease that may lead to ischemia such as arterial aneurysm, dissection, embolism etc. Presentation: Intermittent claudication pain beginning after age 40 years. Severe disease may lead ischemic rest pain. Non healing ulcers may be observed in extreme cases. Reduced hair growth on legs, skin color changes (reddish blue or pale), weak pulses (in legs and feet) are seen. Assessment: Measuring the pulses in legs and feet, doppler ultrasound, ankle-brachial index (ABI), angiography, magnetic resonance angiography (MRA), computerized tomography angiography (CTA). Plan: Lifestyle changes - tobacco cessation, exercise, and a healthy diet. Medications (cilostazol or pentoxifylline, clopidogrel, aspirin, statins, ACE inhibitors), angioplasty or vascular surgery. Prognosis: No cure. PVD responds to lifestyle treatments and medications as needed."
321319000,Cardiomyopathy,"Overview: Cardiomyopathies were originally defined as disorders that were idiopathic, but in North American clinical practice the terms ""ischemic,"" ""valvular,"" and ""hypertensive cardiomyopathy"" were commonly used causing dismbiguation. Multiple attempts were made including2006 AHA scientific statement definition ""Cardiomyopathies are a heterogeneous group of diseases of the myocardium associated with mechanical and/or electrical dysfunction that usually (but not invariably) exhibit inappropriate ventricular hypertrophy or dilation and are due to a variety of causes that frequently are genetic. Cardiomyopathies either are confined to the heart or are a part of generalized systemic disorders, often leading to cardiovascular death or progressive heart failure-related disability."" Two groups: primary cardiomyopathies (predominantly involving the heart) and secondary cardiomyopathies (accompanied by other organ system involvement). The primary cardiomyopathies are subdivided into genetic, mixed (predominantly nongenetic), or acquired (nongenetic). The genetic cardiomyopathies include Hypertrophic cardiomyopathy (HCM), Arrhythmogenic right ventricular cardiomyopathy/dysplasia (ARVC/D), left ventricular noncompaction, PRKAG2 and Danon glycogen storage diseases, conduction defects, mitochondrial myopathies, and ion channel disorders. The mixed cardiomyopathies include Dilated cardiomyopathy (DCM) and Restrictive cardiomyopathy (RCM). The acquired cardiomyopathies include myocarditis, stress-induced (takotsubo), peripartum, tachycardia-induced, and infants of insulin-dependent diabetic mothers. This was followed in 2008 by ESC, as ""A myocardial disorder in which the heart muscle is structurally and functionally abnormal in the absence of coronary artery disease, hypertension, valvular disease and congenital heart disease sufficient to explain the observed myocardial abnormality"". The clinical ideas describing the breadth of cardiomyopathy is still evolving but functionally echocardiogram evaluation is a functional way to classify cardiomyopathy into either dilated, hypertrophic, arrhythmogenic right ventricular, or restrictive cardiomyopathy. Systolic dysfunction is characterized by a decrease in myocardial contractility, i.e. myocardial contractility is decreased globally and commonly compensated thru LV enlargementi.e. dilated cardiomyopathy. Diastolic dysfunction refers to cardiac dysfunction in which LV relaxation and filling is abnormal and is accompanied by elevated filling pressures (eg, hypertrophic cardiomyopathy, restrictive cardiomyopathy, LV noncompaction), valvular heart disease, pericardial disease. Some cardiac disorders may present as more than one type of cardiomyopathy e.g. amyloid cardiomyopathy with both hypertrophic and restrictive. Cardiac sarcoidosis with wall motion abnormality and ventricular arrythmias. DCM, with Left ventricular cavity dilatation, is associated with viruses and gene mutations. some definitions exclude ischemic cardiomyopathy which appears similar to DCM. In general HCM, would not include pathologic hypertrophy secondary to pathologic loading conditions such as hypertension and valve disease. Atheletes heart, i.e. physiologic cardiomyopathy is not considered cardiomyopathy. RCM is characterized by nondilated ventricles with impaired ventricular filling, commonly without muscle hypertrophy but wall may appear thick because of infiltrative disease (amyloidosis) or storage disease (Fabry). Stress Cardiomyopathy, aka apical ballooning syndrome, takotsubo cardiomyopathy, broken heart syndrome, and stress-induced cardiomyopathy, is a type of acquired cardiomyopathy characterized by transient regional systolic dysfunction of the left ventricle (LV), mimicking myocardial infarction, but in the absence of angiographic evidence of obstructive coronary artery disease or acute plaque rupture. In most cases of stress cardiomyopathy, the regional wall motion abnormality extends beyond the territory perfused by a single epicardial coronary artery. Presentation: Cardiomyopathy may present with broad set of signs and symptoms including fatigure, dyspnea, chest pain, palpitations, presyncope and syncope and depends on whether the person is functional vs decompensated. Assessment: ECG often with QTc prolongation greather than 500 ms; ecocardiogram, urgent coronary angiography (for this diagnosis, there needs to be an absence of atherosclerotic coronary artery disease). Troponin and BNP or proBNP serial levels. Plan: Highly personalized care. Manage heart failure, arrythmias, rehabilitation, education. Anticoagulation sometimes indicated. Prognosis: depends on degree of damage. Many with HCM may have normal life expectancy. Prognosis: worse with older age and abnormal left heart pump function (LVEF<40%). Risk of sudden cardiac death. May benefit from cardiac transplantation."
36712702000,Preterm birth,"Overview: Prematurity is defined as a birth that occurs before 37 completed weeks (less than 259 days) of gestation. Delivery of the fetus between 20 and 37 weeks of gestation. Majority of PTB are spontaneous - due to preterm labor or preterm prelabor rupture of membranes. PTB is relatively common at upto 20%. Reproductive history of PTB is a major risk factor for recurrence. Presentation: Rupture of membranes (amniotic sac), contractions of uterus, dilation of cervix and delivery of infant. Sometimes a cesearean section is needed to deliver the fetus prematurely for medical reasons e.g fetal distress. Assessment: If in labor - speculum exam to confirm amniotic fluid, serial cervical exams, ultrasound to confirm presentation and plan for delivery or need for C section. Plan: If possible treat mother with corticosteroids to promote fetal lung maturity and reduced risk of respiratory distress post delivery; but very few interventions have proven successful in prolonging pregnancy period after labor has started. Treat any identified infections; magnesium sulfate as tocolytic. Prognosis: The less mature the fetus, in general the poorer prognosis. 20 weeks gestation considered the lower limit of survivability."
372328000,Otitis media,"Overview: Group of inflammatory diseases of the middle ear. Acute otitis media (AOM) and otitis media with effusion (OME). Presentation: can affect adults, but primarily occurring in children; irritability, tugging at ear(s), fever, hearing difficulty, ear pain, loss of balance, fluid draining from ear(s)Assessment: Otoscope ear exam, tympanometry, hearing test Plan: Antibiotic, and meds for pain or fever, if persistent may go with ear tubes (myringotomy) or removal of the adenoids Prognosis: Can lead to permanent hearing loss, but usually gets better without any complications - can be recurrent."
37311061000,Severe acute respiratory syndrome coronavirus 2 (SARS-COV-2) and coronavirus disease (COVID-19),"Overview: New strain of coronavirus is SARS-CoV-2. The emergence and rapid spread of coronavirus disease 2019 (COVID-19), caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2), a potentially fatal disease, public health crises worldwide. Viral infection with contaminate surface, air/environment, or human contact transmission. Presentation: COVID-19 affects people in different ways. Infected people have had a wide range of symptoms reported – from mild symptoms to severe illness. Symptoms may appear 2 - 14 days after exposure. Fever/chills, cough, SOB, fatigue, muscle or body aches, headache, new loss or change of taste or smell, sore throat, runny nose, N/V, diarrheaAssessment: Patient history and symptoms and Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) RNA DetectionPlan: Quarantine, recovery; No specific antiviral treatment or vaccine is available for treatment of COVID-19 (respiratory specimens)Prognosis: Can lead to death"
37436000,Disorder of optic nerve,"Overview: optic nerve connects retinal ganglion cells to visual nuclei, and is considered an extension of CNS and not a peripheral nerve with four segments (intraocular/optic disc, intraorbial, optic foramen, intracranial part. Presentation: optic nerve lesions produce monocular visual loss usually associated with afferent pupillary defect, central vision loss (scotoma), dyschromatopsia, papillitis/optic neuritis, optic atrophy. Optic neuritis ON (in young) and ischemic optic neuropathy ION (older, > 50) are two most common optic nerve disease. Anterior ION (optic disc) & Posterior ION (retrobulbar). Nonarteritic ION is the most common ION, and can be AION or PION. AION is common with giant cell arteritis and > 70 yr. Optic neuritis is an inflammatory, demyelinating condition that is highly associated with multiple sclerosis (MS), some ON are associated with infections - west nile, cat scratch, toxoplasmosis or may be a complication of meningitis, or vasculitis. Postviral optic neuritis has been associated with measles, mumps, chickenpox, influenza, and Epstein-Barr virus, typically follow clinical infection by 1 to 3 weeks - more common in children and often bilateral. Bilateral ON may occur in GB syndrome. Sarcoidosis may be associated with ON - often bilateral. Chronic relapsing inflammatory optic neuropathy (CRION)is rare, relapsing autoimmune optic neuritis without know causes like sarcoidosis, lupus, MS, etc. Compressive optic neuropathies are slowly progressing vision loss due to compression from neoplasia or other mass in region. ON may be genetic - Leber and Kjer's. Drugs and toxins may cause ON - e.g ethambutol, and potentially infliximab, sildenafil, amiodarone. Presentation: maybe acute, sub-acute or chronic and is different based on etiology. NION is commonly acute, monoocular, painless visual loss with optic disc swelling. ON is acute, painful, monocular visual loss in younger (18 to 40 y) - that evolves over several days. Assessment: opthalmologic exam and MRI is usually essential. Gadolinimum MRI shows lesion in 90% of ON, but does not show in ION. Plan: no effective treatment for ION. ON may be management with methylprednisolone. Prognosis: IONs have poor prognosis compared to ON."
374366000,Sensori neural hearing loss Deafness neurosensory,"Overview: Loss of functional hearing due to dysfunction of the nerve endings in the cochlea (in the inner ear), along the auditory nerve (cranial nerve VIII). Middle ear function is preserved (movement of the bones of the middle ear in response to the eardrum vibrating as the result of sound is intact) Presentation: Congenital, sudden, or gradual loss of hearing ability in one or both ears. May be mild, moderate, severe or profound. Assessment: Pure tone audiometry, speech recognition scales, if sudden in an adult in particular if it is unilateral, MRI or CT imaging for neoplasms in the brain or in the auditory nerve. Evaluate for infection (lumbar puncture if indicated) Plan: If underlying pathology can be treated, do so. Prognosis: Can worsen over time and with noise exposure."
375801000,Demyelinating disease of central nervous system,"Overview: [TO DO] , Chronic inflammatory demyelinating polyradiculoneuropathy, Multiple sclerosis"
375806000,Idiopathic Peripheral neuropathy,"Overview: Painful, symmetric condition with sensory, or sensory-motor, involvement. Can be triggered by immunization (in which case it is a vasculitic peripheral neuropathy), infections, drugs, metabolic causes. Presentation: Sensory or sensory-motor usually painful staring in the distal extremities (most commonly toes) related to length of the axon (longer axon=earlier symptoms) Worsens over the course of weeks. Pain is asymmetric, can experience numbness. Assessment: EMG with axonal pathology, r/o toxins, r/o Hep B and C infection, r/o Lyme, HIV, alcohol abuse, r/o diabetes, vitamin deficiencies, TSH, systemic vasculitidies, consider peripheral nerve biopsy to evaluate for vasculitis. Plan: Treat underlying cause, (withdraw offending drugs, treat infection, do not rechallenge with vaccine), observation usually appropriate. Worsening clinical course requires neurology consult. Prognosis: self-limited if offending agent withdrawn, progressive if untreated metabolic disorder or autoimmune etiology."
377091000,Seizure,"Overview: A seizure is a sudden change in behavior, movements or feelings, or levels of consciousness caused by electrical hypersynchronization of neuronal networks in the cerebral cortex. There are three subtypes : Acute symptomatic seizure refers to a seizure that occurs at the time of a systemic insult or in close temporal association with a documented brain insult; Unprovoked seizure refers to a seizure of unknown etiology as well as one that occurs in relation to a preexisting brain lesion or progressive nervous system disorder; Epilepsy (or epilepsy syndrome) - Two or more distinct unprovoked seizure > 24 hours apart, or a tendency to have recurrent seizures is epilepsy. Seizures are either focal or generalized (various types), or unknown onset. Most seizures can be categorized as either focal or generalized according to whether the onset of electrical activity involves a focal region of the brain or both sides of the brain simultaneously. Presentation: mild to severe, temporary confusion, staring spell, uncontrollable jerking movements of arms/legs, loss of awareness/consciousness, cognitive or emotional symptoms, such as fear, anxiety or deja vu. Assessment: is to determine if cause of seizure because of a systemic insult (i.e. potentially reversible e.g. metabolic derangements, drug or alcohol withdrawal) or an intrinsic dysfunction of the central nervous system (i.e. underlying brain pathology and long-term). The later is also commonly unprovoked seizures. Compared with children and young adults, older adults with a first seizure are more likely to have a cause of seizure identified by an initial evaluation and neuroimaging.. Review symptoms and hx of seizures; neuro exam, blood samples for infections, genetic conditions, blood sugar level and any electrolyte imbalances, lumbar puncture, EEG, CT, MRI, PET, Single-photon emission computerized tomography (SPECT). Plan: anti-seizure medications (if more than one seizure); if meds do not work - surgery, vagus nerve stimulation, other types of neurostimulations. Prognosis: Can achieve good seizure control with medication. Impacts daily life, need personal safety."
378135000,Facial nerve disorder,"Overview: Facial nerve disorders present with weakness of muscles of facial expression. There is a sensory component to facial server, taste in the anterior part of the tongue. The most common form of facial nerve disorder is facial paralysis (that is often 'Bells palsy'). Bells palsy is acute, unilateral facial paralysis - unable to raise an eyebrow, smile, whistle, affected side of the face droops. Other facial nerve disorder include facial tics, herpes zoster auricularis of facial nerve, injury to facial nerve, etc. Assessment: CT or MRI of brain to rule out central nervous system cause. Elicit history of recent vaccine or illness, physical exam findings including testing of cranial nerves. Plan: For Bells palsy, watchful waiting, steroids, acyclovir or valacyclovir if concern for a HSV or zoster cause, supportive care including lubrication of affected eye (since blink function impaired). Prognosis: Bells palsy is usually self-limited but can have long-term paralysis of part or all of one side of the face."
378416000,Retinal disorder,"Overview: Common retinal conditions include floaters, macular degeneration, diabetic retinopathy, retinal tear or detachment, and retinitis pigmentosa. Retinal diseases can affect any part of the retina. Presentation: Sudden appearance of floaters, flashes of light (photopsia), blurred vision, reduced peripheral vision, or loss of vision Assessment: Eye exams, Amsler grid test, Optical coherence tomography (OCT), Fundus autofluorescence (FAF), angiography, ultrasoundPlan: Laser surgery, scatter laser photocoagulation, cryopexy, pneumatic retinopexy, scleral buckling, vitrectomy, injecting medicine into the eye, retinal prosthesis Prognosis: Can stop or slow the disease and preserve, improve or restore vision. Untreated, can cause severe vision loss or blindness."
378419000,Alzheimer's disease,"Overview: A progressive disease that destroys memory and other important mental functions. A type of dementia that affects memory, thinking and behavior. Alzheimer's is the most common cause of dementia. Brain cell connections and the cells themselves degenerate and die, eventually destroying memory and other important mental functions. Presentation: Memory loss and confusion (main symptoms). Challenges in planning or solving problems, difficulty competing familar tasks, new problems with words in speaking or writingAssessment: Self-reporting (family reporting) about symptoms, Assessment: of memory and thinking skills, rule out potential causes, brain imagery - CT and MRI, can be diagnosed afer death (microscopic exam of the brain)Plan: treat cognitvie symptoms - Cholinesterase inhibitors (galantamine, rivastigmine and donepezil). memantine). Memantine, an N-methyl D-aspartate (NMDA) antagonist, is prescribed to treat moderate to severe Alzheimer’s disease. Prognosis: Worsens over time, progressive disease. No cure exists, but medications and management strategies may temporarily improve symptoms. Symptoms eventually grow severe enough to interfere with daily tasks."
381114000,Microcephalus,"Overview: When a fetus or infant's head circumference is smaller than expected when compared to others of the same gestational age, sex and ethnic background. Presentation: Observation of small head circumference by ultrasound prior to birth. Small head circumference measured with tape measure after birth. Assessment: Head circumference measured after birth 2 standard deviations below the mean or <3rd percentile according to gestational age and gender. When diagnosed prior to birth, ultrasound at 24 weeks or later for a gestation with confirmed dates 2 SD below mean or <3rd percentile using standardized reference charts for the population. Must be confirmed by a second ultrasound at least 1 week after the first ultrasound. Plan: Prenatally, close ultrasound follow up of growth of fetus, delivery if needed, After delivery, early intervention services and developmental pediatric consult if patient fails to meet developmental milestones. Prognosis: Normal development to developmental delay to death depending on cause and severity of the microcephaly."
381270000,Parkinson's disease,"Overview: A disorder of the central nervous system that affects movement, often including tremors. Parkinson's disease occurs when nerve cells, or neurons, in an area of the brain that controls movement become impaired and/or die. Nerve cell damage in the brain causes dopamine levels to drop, leading to the symptoms of Parkinson's. Progression is defined by 5 stages (Hoehn and Yahr Scale). Presentation: Shaking, stiffness, and difficulty with walking, balance, and coordination - begin gradually and get worse over timeAssessment: No specific test exists to diagnose. Medical history, review of signs and symptoms, and neurological and physical exam Plan: Levodopa (L-dopa) and Carbidopa; dopamin agonists, MAO-B inhibitors, anticholinergics, COMT inhibitors, antiviral; deep brain stimulation; physical, occupational, and speech therapiesPrognosis: No cure. Symptoms may worsen as the disease progresses."
381591000,Cerebrovascular disease,"Overview: Cerebrovascular disease (subsumes cerebrovascular accident) are a group of conditions that affect the cerebral vasculature and blood flow, resulting in or predisposing to cerebrovascular accident/stroke (includes vascular anomalies - both congenital and acquired , av malformations, capillary telangiectasia etc). A stroke (cerebrovascular accident) is a highly variable clinical condition (clinical diagnosis supported by testing) defined as abrupt onset of a neurologic deficit that is attributatble to a focal vascular cause (i.e. cerebrovascular disease). Cerebral ischemia is caused by reduction in blood flow to brain tissue for more than a few seconds - because neurons lack glycogen, energy failure rapidly ensures and neurologic symptoms manifest in seconds. If cessation of blood flow lasts for more than a few minutes - cerebral infarction (brain tissue death) may occur. If blood supply is restored before infarction, full recovery is possible - transient ischemic attack (TIA). TIA is defined as all neurologic signs and symptoms resolved within 24hr without evidence of brain infarction on brain imaging (most < 1hr). Stroke is said to have occurrred if the neurologic signs and symptoms persist for > 24hr or brain infarction is seen on imaging. A generalized reduction in cerebral blood flow (e.g. systemic hypotension due to arrythmia, myocardial infarction) usually produces syncope, and if long enough may lead to globa hypoxia-ischemia encephalopathy - this is not stroke because it is not focal vascular disease. Stroke syndrome may occur because of focal ischemia/infarction (obstruction of vessel) or intracranial hemorrhage (bleeding into or around brain with ischemic neurologic symptoms secondary to mass effect, increased intracranial pressure or toxins). Seizure, intracrainal tumor, migraine, metabolic encephalopathy may mimic stroke - but is not stroke. Stroke syndromes are divided (based on vasculature) into - large-vessel stroke within anterior circulation (internal carotid artery and branches - middle cerebral artery, anterior cerebral artery, anterior choroidal artery, internal carotid artery, common carotid artery), large-vessel stroke within posterior circulation (basillar artery, vertebral artery, internal cerebellar artery), small-vesssel disease(old name lacunar stroke) of either vascular bed. Ischemic penumbra - tissue around core area of infarction with reversible ischemia. Thrombotic (ischemic) strokes are those in which the pathologic process giving rise to thrombus formation in an artery produces a stroke either by reduced blood flow distally (low flow) or by an embolic fragment that breaks off and travels to a more distant vessel (artery-to-artery embolism). Embolic strokes are divided into four categories (known cardiac source, possible cardiac or aortic source, arterial source, unknown source). Hemorrhagic stroke are classifed based on location - intracranial hemorrhage (ICH - parenchymal hemorrhage), subdural and epidural hemorrhage (later two mostly due to trauma induced vessel damage). Intracranial hemorrhage is divided into hypertensive ICH (commonly spontaneous rupture of small artery) or large lobar hemorrhage (e.g. temporal hemorrhage). Presentation: Highly variable. stroke - facial droop, arm weakness, speech difficulty. headache, vertigo, N/V, confusion, arm/leg/face numbness, difficult to walk. Small vessel ischemic stroke usually present as pure motor hemoiparesis, pure sensory stroke, ataxic hemiparesis, dyarthria and clumsy limbs. Hemorrhagic stroke is more commonly associated with headache, ischemic stroke is more commonly with seizures. Assessment: the goal is to establish clinical diagnosis and evaluate if hemorrhage or ischemia, so that treatment plan may be initiated. CT head is highly sensitive for hemorrhagic stroke. Initial management does not depend on etiology - establishin etiology helps prevent recurrence. TOAST classification (5 subtypes) is commonly used to establish etiology of ischemic stroke. Histpry & physical, angiogram, ultrasound, CT, EEG, lumbar puncture, MRI. Review history of anticoagulation and need for reversal. Plan: ABC resusciation first. Goal is to prevent or reverse brain injury. Medical support (BP management), IV thrombolysis, endovascular revascularization, antithrombotic therapy (aspirin), neuroprotection, stroke center referal and rehabilitation. Prognosis: can highly impacted by management especially acute management of stroke. After acute management, risk of recurrence needs to be reduced and any long-term sequela addressed through rehabilitation."
4013643000,Pulmonary arterial hypertension,"Overview: PAH is one of the five subtypes of Pulmonary hypertension. The diagnosis requires exclusion of other subtypes of PH such as those due to left heart disease, chronic lung disease involving hypoxemia, ventous themobembolic pulmonary artery obstruction and miscelaneous causes of PH. Idiopathic and heritable PAH are clinically indistinguishable but genetic tests may help distinguish the two. The following conditions are assosicated with PAH - connective tissue disorders (systemic sclerosis/scleroderma, rheumatoid arthritis, systemic lupus erytematous, raynaud disease, mixed connective tissue disease). Also associated with HIV, Portal hypertension, congential heart disease with shunts, schistosomiasis. Presentation: often a manifestation of underlying etiology, the presentations are progressive exertional dyspnea and fatigure. Assessment: Non invasive (EKG, Echocardiogram) to invasive hemodynamic test (right heart catheterization) to establish diagnosis and find etiology. Plan: Treat underlying cause where possible. Improve breathing. O2 therapy, anticoagulants, calcium channel blockers, prostaglandins, possible for a lung transplant or septostomy. Heritable PAH is confirmed if two or more family members have PAH or if a BMPR2 gene mutation or mutation in another gene known to cause PAH is identified in the affected person. Prognosis: Chronic, can last for years or be lifelong. Life-threatening condition that gets worse over time, but treatments can help the symptoms."
4027537000,Neuromuscular junction disorder,Overview: Presentation: Assessment: Plan: Prognosis:
4028363000,Uveitis,"Overview: Intraocular inflammation, characterized by inflammation of the uvea. Uvea is the middle portion of the eye that extends from the iris, ciliary body to the choroidPresentation: nonspecific and variable with symptoms in the eye such as visual loss, pain, redness. On examination there may be signs of leukocytes in the eye chamber. Assessment: needs ophthalmological evaluation of eye chamber. Plan: should be managed with urgency to prevent complications, preferably start treatment within 24 hours. Treatment is dependent on the cause, e.g. viral infections require antiviral medication, while noninfectious causes may include steroids, immunosuppressive agents or biologics (infliximab, adalimumab). Prognosis: If untreated may lead to complications in eye such as keratopathy, synechiae, cataract etc."
4030518000,Renal impairment,"Overview: Renal impairment is decreased kidney function measured as decreased glomerular filtration rate (estimated eGFR using serum creatinine) that may be reversible or irreversible. Kidney damage refers to pathologic abnormalities, whether established via kidney biopsy or imaging studies, or inferred from markers such as urinary sediment abnormalities or increased rates of urinary albumin excretion. Acute Kidney Injury (formerly known as acute renal failure) is a type of organ failure (usually reversible) that is almost always because of pre-renal or renal (acute tubular necrosis) etiology, and is diagnosed by a criteria that is a combination of either increase in serum creatine (laboratory) or severe reduction in urine volume. Chronic Kidney Disease (CKD) is a heterogeneous group of common chronic disorders characterized by alterations in kidney structure and function, which a range of severity manifestation that depend on the underlying cause and rate & degree of loss of kidney function. CKD is defined by the presence of kidney damage or decreased kidney function for three or more months, irrespective of the cause, and this persistence of the damage or decreased function for at least three months is necessary to distinguish CKD from acute kidney disease. History of kidney transplantation even if normal kidney function is CKD. The term ""end-stage kidney disease"" (ESKD) generally refers to chronic kidney failure treated with either dialysis or transplantation. Presentation: Acute Kidney injury due to prerenal causes have symptoms of reduced urine output associated with decreased tissue perfusion insults (e.g. vomiting, diarrhoes, bleeding, sepsis that have lead to volume depletion, hypotension), while those due to renal causes such as exposure to nephrotoxins including drugs that may have blood and sediments in urine, with tachycardia and signs of uremia. Chronic Kidney Disease is usually asymptomatic in its early stages, as symptoms appear in later stages of disease or secondary to complications. In some cases patient may be diagnosed with CKD, when an asymptomatic CKD decompensates and manifests as acute (exacerbation of chronic) kidney disease. CKD disease is commonly recognized by hormonal and metabolic complications such as anemia and hyperparathyroidism, as the symptoms and signs are non-specific such as fatigue, hypertension, electrolyte imbalances, dyspnea and abnormal heart rhythm. Assessment: Establish if acute or chronic. If acute, look for life threatening situations like fluid overload - pulmonary edema, uremic syndrome, hyperkalemia, cardiac arrythmias, electrolytes, EKG.If CKD staging is performed using a combination of kidney damage (albuminuria) and function (GFR), and represent those with more severe disease and thus higher risk for progression and complications. Cause of CKD is essential part of assessment and is an indicator of prognosis. Assessment for kidney damage (albuminuria, urinary sediments, imaging changes, biopsy findings of glomerular, vascular or tubulointerstial disease, history of kidney transplantation even if normal kidney funciton is CKD). Kidney function - GFR is the best indicator and decling GFR is hallmark of progressive CKD. < 60 mL/min per 1.73 m2 is diagnostics, < 15 mL/min per 1.73 m2 or treatment by dialysis is kidney failure. CKD classification is based on etiology, GFR stages (6 sub categories G1 >= 90, G2 60 to 89, G3a 45 to 59, G3b 30 to 44, G4 15 to 29, G5 < 15), Albuminuria stages (A1 < 30, A2 30 to 300, A3 > 300). Plan: Is highly varied and depends on the stage and cause of disease. Many early stage may not need a specialist. CKD management is to reduce progression. Prognosis: depends on stage and cause, optimal management can slow down progression with good prognosis."
4043371000,Inflammatory disorder of digestive tract,Overview: Presentation: Assessment: Plan: Prognosis:
4046338000,Multifocal motor neuropathy,"Overview: Immune mediated, characterized by progressive asymmetric weakness and atrophy without sensory abnormalities. Presentation: Over at least a month, progressive asymmetric weakness usually beginning in the arms and hands. Wrist drop is often present. Assessment: EMG, NCS, neurologic exam with frequently preserved deep tendon reflexes. anti-GM 1 antibodies. History of use of anti-TNF alpha antibodies has been associated MMN. Plan: IVIG, does not respond to glucocorticoids or plasma exchange. Prognosis: Slowly progressive and eventually disabling in untreated patients."
40481902000,Malignant neoplasm of anorectum,"Overview: Rectal cancer is cancer that begins in the rectum. Rectal neoplasms; Rectal tumor. Adenocarcinoma of the rectum. Presentation: Change in bowel habits, blood in stool, abdominal pain, weight loss, weakness or fatigue. Assessment: Screening for colorectal, colonoscopy, biopsy, Blood tests, Carcinoembryonic antigen (CEA), imaging (for spreading or not), pelvic MRI. Plan: Surgery (transanal local excision, removing all or part of the rectum), chemo, radiation, targeted drug therapy, and immunotherapy. Prognosis: Depends on staging. Early rectal cancers have extremely good prognosis. If they have not invaded through the muscle wall, the vast majority of them are cured by surgery. If the rectal cancer tumour has spread to other organs such as the liver or lung, the current 5 year survival is approximately 10%."
4067106000,Miscarriage or abortion,"Overview: Spontaneous abortion. Miscarriage is when an embryo or fetus dies before the 20th week of pregnancy. Several types of miscarriages - threatened, inevitable, incomplete, complete, and missed miscarriage. A miscarriage is an abortion that occurs without intervention. Presentation: fluid, blood, or tissue passing from the vagina and pain in the belly or lower back, cramping. Assessment: Pelvic exam, ultrasound, changes in HCG (level of the pregnancy hormone, human chorionic gonadotropin). Plan: medical abortion, dilation and curettage, vacuum aspiration, dilation and evacuation. Prognosis: Common experience for pregnancies to end in miscarriage. Can be dangerous if not treated."
